embedding,encoder,tagset,link,metric,set,precision,recall,f1
chinese-bert,identity,bioje,bd,mbawo,validation,0.5515482695810565,0.5783040488922842,0.5646093604325937
chinese-bert,identity,bioje,bd,mbawo,optimization,0.5701241782322863,0.6085769980506822,0.5887233641335095
chinese-bert,identity,bioje,bd,mbawo,test,0.5111670336583831,0.6226053639846744,0.5614095698738988
chinese-bert,identity,bioje,bd,mwo,training,0.6877492246344705,0.7001578709968426,0.6938980777827447
chinese-bert,identity,bioje,bd,mwo,validation,0.6036429872495446,0.63292589763178,0.6179377214245758
chinese-bert,identity,bioje,bd,mwo,optimization,0.6095690284879474,0.650682261208577,0.6294550254572884
chinese-bert,identity,bioje,bd,mwo,test,0.5419943378420887,0.6601532567049808,0.5952668854724478
chinese-bert,identity,bioje,td,epm,training,0.3355155482815057,0.3789279112754159,0.35590277777777785
chinese-bert,identity,bioje,td,epm,validation,0.19047619047619047,0.22988505747126436,0.20833333333333334
chinese-bert,identity,bioje,td,epm,optimization,0.15841584158415842,0.2077922077922078,0.17977528089887643
chinese-bert,identity,bioje,td,epm,test,0.16216216216216217,0.2222222222222222,0.1875
chinese-bert,identity,bioje,td,mpbm,training,0.6437659033078881,0.513531799729364,0.571321038765525
chinese-bert,identity,bioje,td,mpbm,validation,0.44785276073619634,0.3093220338983051,0.3659147869674186
chinese-bert,identity,bioje,td,mpbm,optimization,0.44751381215469616,0.3698630136986301,0.405
chinese-bert,identity,bioje,td,mpbm,test,0.4010152284263959,0.35909090909090907,0.37889688249400477
chinese-bert,identity,bioje,td,mbawo,training,0.7130077724006453,0.5482634190347316,0.6198763307197043
chinese-bert,identity,bioje,td,mbawo,validation,0.5997920997920998,0.440794499618029,0.50814619110524
chinese-bert,identity,bioje,td,mbawo,optimization,0.6108468125594672,0.5005847953216375,0.550246410970645
chinese-bert,identity,bioje,td,mbawo,test,0.5175857577073383,0.4567049808429119,0.4852432322409933
chinese-bert,identity,bioje,td,mwo,training,0.8333333333333334,0.640787099684258,0.7244852425575318
chinese-bert,identity,bioje,td,mwo,validation,0.7286902286902287,0.5355233002291826,0.6173491853808896
chinese-bert,identity,bioje,td,mwo,optimization,0.7045670789724072,0.5773879142300195,0.6346689522176987
chinese-bert,identity,bioje,td,mwo,test,0.61615284411637,0.5436781609195402,0.5776511296560147
chinese-bert,identity,biome,bd,epm,training,0.5844748858447488,0.4731977818853974,0.5229826353421858
chinese-bert,identity,biome,bd,epm,validation,0.30434782608695654,0.2413793103448276,0.2692307692307692
chinese-bert,identity,biome,bd,epm,optimization,0.2786885245901639,0.22077922077922077,0.2463768115942029
chinese-bert,identity,biome,bd,epm,test,0.325,0.32098765432098764,0.32298136645962733
chinese-bert,identity,biome,bd,mpbm,training,0.7548543689320388,0.6312584573748309,0.6875460574797346
chinese-bert,identity,biome,bd,mpbm,validation,0.5439560439560439,0.4194915254237288,0.47368421052631576
chinese-bert,identity,biome,bd,mpbm,optimization,0.5952380952380952,0.45662100456621,0.516795865633075
chinese-bert,identity,biome,bd,mpbm,test,0.4611872146118721,0.4590909090909091,0.460136674259681
chinese-bert,identity,biome,bd,mbawo,training,0.8670912951167729,0.6907983761840325,0.7689700621351911
chinese-bert,identity,biome,bd,mbawo,validation,0.7592592592592593,0.6107715813598167,0.6769686706181203
chinese-bert,identity,biome,bd,mbawo,optimization,0.793904958677686,0.5992202729044834,0.6829593423683626
chinese-bert,identity,biome,bd,mbawo,test,0.604903536977492,0.5766283524904214,0.5904276186739897
chinese-bert,identity,biome,bd,mwo,training,0.8866242038216561,0.706359945872801,0.7862926002636038
chinese-bert,identity,biome,bd,mwo,validation,0.7896486229819563,0.6352177234530175,0.704064352243861
chinese-bert,identity,biome,bd,mwo,optimization,0.8021694214876033,0.605458089668616,0.6900688735836481
chinese-bert,identity,biome,bd,mwo,test,0.6386655948553055,0.6088122605363985,0.6233817183209102
chinese-bert,identity,biome,td,epm,training,0.46308724832214765,0.5101663585951941,0.4854881266490765
chinese-bert,identity,biome,td,epm,validation,0.25555555555555554,0.26436781609195403,0.2598870056497175
chinese-bert,identity,biome,td,epm,optimization,0.23595505617977527,0.2727272727272727,0.25301204819277107
chinese-bert,identity,biome,td,epm,test,0.2413793103448276,0.345679012345679,0.28426395939086296
chinese-bert,identity,biome,td,mpbm,training,0.6311326468806784,0.7050067658998647,0.6660274848194311
chinese-bert,identity,biome,td,mpbm,validation,0.48828125,0.5296610169491526,0.5081300813008129
chinese-bert,identity,biome,td,mpbm,optimization,0.46887966804979253,0.5159817351598174,0.49130434782608695
chinese-bert,identity,biome,td,mpbm,test,0.3785488958990536,0.5454545454545454,0.44692737430167595
chinese-bert,identity,biome,td,mbawo,training,0.7527898940689968,0.7492670275146595,0.7510243295939416
chinese-bert,identity,biome,td,mbawo,validation,0.6828416149068323,0.671886936592819,0.6773199845976127
chinese-bert,identity,biome,td,mbawo,optimization,0.6422569027611045,0.6257309941520468,0.6338862559241707
chinese-bert,identity,biome,td,mbawo,test,0.5311942959001783,0.6850574712643678,0.5983935742971888
chinese-bert,identity,biome,td,mwo,training,0.786268622896958,0.7825890843482183,0.7844245386984656
chinese-bert,identity,biome,td,mwo,validation,0.7228260869565217,0.7112299465240641,0.7169811320754716
chinese-bert,identity,biome,td,mwo,optimization,0.657062825130052,0.6401559454191034,0.6484992101105845
chinese-bert,identity,biome,td,mwo,test,0.5469399881164587,0.7053639846743295,0.6161311914323963
chinese-bert,identity,biomj,bd,epm,training,0.5674044265593562,0.5212569316081331,0.5433526011560694
chinese-bert,identity,biomj,bd,epm,validation,0.30952380952380953,0.2988505747126437,0.30409356725146197
chinese-bert,identity,biomj,bd,epm,optimization,0.31645569620253167,0.3246753246753247,0.32051282051282054
chinese-bert,identity,biomj,bd,epm,test,0.325,0.32098765432098764,0.32298136645962733
chinese-bert,identity,biomj,bd,mpbm,training,0.7139737991266376,0.6637347767253045,0.6879382889200562
chinese-bert,identity,biomj,bd,mpbm,validation,0.47413793103448276,0.4661016949152542,0.47008547008547
chinese-bert,identity,biomj,bd,mpbm,optimization,0.5231481481481481,0.5159817351598174,0.5195402298850575
chinese-bert,identity,biomj,bd,mpbm,test,0.4396551724137931,0.4636363636363636,0.4513274336283185
chinese-bert,identity,biomj,bd,mbawo,training,0.8273182635499615,0.7263757329724854,0.7735679116128259
chinese-bert,identity,biomj,bd,mbawo,validation,0.6946902654867256,0.6596638655462185,0.6767241379310345
chinese-bert,identity,biomj,bd,mbawo,optimization,0.7071638039379975,0.6580896686159844,0.6817447495961229
chinese-bert,identity,biomj,bd,mbawo,test,0.5824175824175825,0.6091954022988506,0.5955056179775282
chinese-bert,identity,biomj,bd,mwo,training,0.8479321859748266,0.7444745151105097,0.7928425603458629
chinese-bert,identity,biomj,bd,mwo,validation,0.7164119066773934,0.6802902979373567,0.697884012539185
chinese-bert,identity,biomj,bd,mwo,optimization,0.7268537913699205,0.6764132553606238,0.7007269789983845
chinese-bert,identity,biomj,bd,mwo,test,0.6021978021978022,0.6298850574712643,0.6157303370786517
chinese-bert,identity,biomj,td,epm,training,0.5497382198952879,0.5822550831792976,0.5655296229802514
chinese-bert,identity,biomj,td,epm,validation,0.34523809523809523,0.3333333333333333,0.3391812865497076
chinese-bert,identity,biomj,td,epm,optimization,0.2717391304347826,0.3246753246753247,0.2958579881656805
chinese-bert,identity,biomj,td,epm,test,0.22857142857142856,0.2962962962962963,0.25806451612903225
chinese-bert,identity,biomj,td,mpbm,training,0.7131367292225201,0.7198917456021651,0.7164983164983165
chinese-bert,identity,biomj,td,mpbm,validation,0.4782608695652174,0.4661016949152542,0.4721030042918455
chinese-bert,identity,biomj,td,mpbm,optimization,0.49145299145299143,0.5251141552511416,0.5077262693156732
chinese-bert,identity,biomj,td,mpbm,test,0.3946360153256705,0.4681818181818182,0.42827442827442824
chinese-bert,identity,biomj,td,mbawo,training,0.8260607521697203,0.7727785295444294,0.7985318107667211
chinese-bert,identity,biomj,td,mbawo,validation,0.6771622160223196,0.648968678380443,0.6627657499512385
chinese-bert,identity,biomj,td,mbawo,optimization,0.6145333825156769,0.6495126705653022,0.6315390447308568
chinese-bert,identity,biomj,td,mbawo,test,0.546028580923895,0.6295019157088123,0.5848015661149671
chinese-bert,identity,biomj,td,mwo,training,0.851675506268081,0.7967410915651781,0.8232929387089256
chinese-bert,identity,biomj,td,mwo,validation,0.703068951773615,0.6737967914438503,0.6881217086015213
chinese-bert,identity,biomj,td,mwo,optimization,0.6569531538177794,0.6943469785575048,0.6751326762699014
chinese-bert,identity,biomj,td,mwo,test,0.5845795945496843,0.6739463601532567,0.6260900516106069
chinese-bert,identity,biomje,bd,epm,training,0.5023255813953489,0.5988909426987061,0.5463743676222598
chinese-bert,identity,biomje,bd,epm,validation,0.2916666666666667,0.3218390804597701,0.30601092896174864
chinese-bert,identity,biomje,bd,epm,optimization,0.23300970873786409,0.3116883116883117,0.26666666666666666
chinese-bert,identity,biomje,bd,epm,test,0.23636363636363636,0.32098765432098764,0.27225130890052357
chinese-bert,identity,biomje,bd,mpbm,training,0.6375764313507504,0.7760487144790257,0.7000305157155935
chinese-bert,identity,biomje,bd,mpbm,validation,0.4835164835164835,0.559322033898305,0.518664047151277
chinese-bert,identity,biomje,bd,mpbm,optimization,0.44014084507042256,0.5707762557077626,0.49701789264413515
chinese-bert,identity,biomje,bd,mpbm,test,0.36163522012578614,0.5227272727272727,0.42750929368029733
chinese-bert,identity,biomje,bd,mbawo,training,0.7425354122082951,0.8216621560667569,0.7800974251913709
chinese-bert,identity,biomje,bd,mbawo,validation,0.6429330499468651,0.6932773109243697,0.6671567726520861
chinese-bert,identity,biomje,bd,mbawo,optimization,0.6101806239737274,0.7243664717348928,0.6623885918003565
chinese-bert,identity,biomje,bd,mbawo,test,0.507202881152461,0.6475095785440613,0.5688320430831371
chinese-bert,identity,biomje,bd,mwo,training,0.7612860491185163,0.8424109156517817,0.7997965847652694
chinese-bert,identity,biomje,bd,mwo,validation,0.6741055614594403,0.726890756302521,0.6995037676897629
chinese-bert,identity,biomje,bd,mwo,optimization,0.6288998357963875,0.746588693957115,0.6827094474153298
chinese-bert,identity,biomje,bd,mwo,test,0.5243097238895558,0.6693486590038314,0.5880175025244024
chinese-bert,identity,biomje,td,epm,training,0.4248927038626609,0.5489833641404805,0.47903225806451605
chinese-bert,identity,biomje,td,epm,validation,0.29914529914529914,0.40229885057471265,0.3431372549019608
chinese-bert,identity,biomje,td,epm,optimization,0.19469026548672566,0.2857142857142857,0.23157894736842105
chinese-bert,identity,biomje,td,epm,test,0.16058394160583941,0.2716049382716049,0.20183486238532108
chinese-bert,identity,biomje,td,mpbm,training,0.5943293347873501,0.7374830852503383,0.6582125603864735
chinese-bert,identity,biomje,td,mpbm,validation,0.4440789473684211,0.5720338983050848,0.5
chinese-bert,identity,biomje,td,mpbm,optimization,0.40213523131672596,0.5159817351598174,0.452
chinese-bert,identity,biomje,td,mpbm,test,0.3202416918429003,0.4818181818181818,0.3847549909255898
chinese-bert,identity,biomje,td,mbawo,training,0.7000306247447938,0.7732859720342805,0.7348371195885126
chinese-bert,identity,biomje,td,mbawo,validation,0.6022544283413849,0.7142857142857143,0.6535034073038616
chinese-bert,identity,biomje,td,mbawo,optimization,0.6060606060606061,0.6705653021442495,0.6366833240792152
chinese-bert,identity,biomje,td,mbawo,test,0.5,0.6639846743295019,0.5704410796576695
chinese-bert,identity,biomje,td,mwo,training,0.7396386280114332,0.8170387911592242,0.7764144877839692
chinese-bert,identity,biomje,td,mwo,validation,0.6325281803542673,0.7501909854851031,0.6863533112004193
chinese-bert,identity,biomje,td,mwo,optimization,0.6416490486257929,0.7099415204678362,0.6740699611327041
chinese-bert,identity,biomje,td,mwo,test,0.5415464512406232,0.7191570881226054,0.6178406846609611
chinese-bert,lstm,bio,bd,epm,training,0.6903553299492385,0.7541589648798521,0.7208480565371024
chinese-bert,lstm,bio,bd,epm,validation,0.34285714285714286,0.41379310344827586,0.375
chinese-bert,lstm,bio,bd,epm,optimization,0.3137254901960784,0.4155844155844156,0.3575418994413408
chinese-bert,lstm,bio,bd,epm,test,0.2807017543859649,0.3950617283950617,0.3282051282051282
chinese-bert,lstm,bio,bd,mpbm,training,0.8190298507462687,0.8910690121786198,0.8535320803629294
chinese-bert,lstm,bio,bd,mpbm,validation,0.5333333333333333,0.6440677966101694,0.5834932821497121
chinese-bert,lstm,bio,bd,mpbm,optimization,0.5370370370370371,0.6621004566210046,0.5930470347648262
chinese-bert,lstm,bio,bd,mpbm,test,0.40634920634920635,0.5818181818181818,0.4785046728971963
chinese-bert,lstm,bio,bd,mbawo,training,0.8369380940148985,0.9185272891294542,0.8758366710572296
chinese-bert,lstm,bio,bd,mbawo,validation,0.5663766488913836,0.7708174178762414,0.6529687752790809
chinese-bert,lstm,bio,bd,mbawo,optimization,0.5735981308411215,0.765692007797271,0.6558690933377861
chinese-bert,lstm,bio,bd,mbawo,test,0.5066502463054188,0.7881226053639847,0.6167916041979011
chinese-bert,lstm,bio,bd,mwo,training,0.8470074492679168,0.9295782589084348,0.8863740222037042
chinese-bert,lstm,bio,bd,mwo,validation,0.590232949761437,0.8032849503437739,0.680472415466753
chinese-bert,lstm,bio,bd,mwo,optimization,0.6334696261682243,0.8456140350877193,0.724327934546669
chinese-bert,lstm,bio,bd,mwo,test,0.5216748768472906,0.8114942528735632,0.6350824587706148
chinese-bert,lstm,bio,td,epm,training,0.9014336917562724,0.9297597042513863,0.9153776160145587
chinese-bert,lstm,bio,td,epm,validation,0.4943820224719101,0.5057471264367817,0.5
chinese-bert,lstm,bio,td,epm,optimization,0.4024390243902439,0.42857142857142855,0.41509433962264153
chinese-bert,lstm,bio,td,epm,test,0.3333333333333333,0.43209876543209874,0.3763440860215054
chinese-bert,lstm,bio,td,mpbm,training,0.9423205902079141,0.9506089309878214,0.946446615021893
chinese-bert,lstm,bio,td,mpbm,validation,0.657258064516129,0.690677966101695,0.6735537190082644
chinese-bert,lstm,bio,td,mpbm,optimization,0.5675675675675675,0.5753424657534246,0.5714285714285713
